company;text;source
Lancaster Colony;"Lancaster Colony Corporation manufactures and markets specialty food products for the retail and foodservice markets in the United States. The company operates through two segments, Retail and Foodservice. It offers frozen garlic breads under the New York BRAND Bakery brand; frozen Parkerhouse style yeast and dinner rolls under the Sister Schubertís brand name; salad dressings under the Marzetti, Simply Dressed, Simply 60, Cardiniís, and Girardís brands; and vegetable dips and fruit dips under the Marzetti brand. The company also provides flatbread wraps and pizza crusts under the Flatout brand; sprouted grain bakery products under the Angelic Bakehouse brand name; croutons and salad toppings under the New York BRAND Bakery, Chatham Village, and Marzetti brands; and frozen pasta under the Marzetti Frozen Pasta brand name. In addition, it manufactures and sells other products to brand license agreements, including Olive Gardenís dressings and Buffalo Wild Wings sauces. The company sells its products through sales personnel, food brokers, and distributors to retailers and restaurants. Lancaster Colony Corporation was founded in 1961 and is based in Westerville, Ohio.";Bloomberg
LSG Skychefs;LSG Sky Chefs USA, Inc. provides airline catering services. The company was incorporated in 1985 and is based in Irving, Texas. LSG Sky Chefs USA, Inc. operates as a subsidiary of LSG Lufthansa Service Holding AG.;Bloomberg
Lund Food Holdings;Lund Food Holdings, Inc. owns and operates grocery stores in Minnesota. It offers organic and natural foods, produce, pork, beef, bakery products, meat, cheese, salads, seafood, pepper jellies, chocolates, spices, dairy, frozen, health and beauty, household, and other products, as well as gourmet gifts, gourmet foods, gift cards, wine, prescription pills, pet food and supplies, and others. The company also offers in store pharmacies, wines and spirits stores, and restaurants, as well as provides catering services for various events, holidays, and occasions. In addition, it provides products online. Lund Food Holdings, Inc. was founded in 1997 and is based in Edina, Minnesota. Lund Food Holdi...;Bloomberg
Lyons Magnus;"Lyons Magnus, Inc. develops, produces, packages, and markets fruit, beverage, and cocoa-based products for food service and industrial customers. The company offers toppings, sauces, fruit beverages, ready-to-serve juices, iced teas, syrups and infusions, fillings, slush bases, beverage products, liquid hot chocolate products, drinks, frozen shake supplements, fiber juices, nutritional and healthcare items, and other products; and ingredients, such as fruit and flavor preparations for use in frozen desserts, cultured products, and beverages. It offers its products through private label brands and distributors in the United States and internationally. Lyons Magnus, Inc. was formerly known as ...";Bloomberg
Maxi Canada;Maxi Canada Inc. produces and supplies processed chicken products. The company provides chicken breast nuggets, patties, fries, rings, and teasers. It markets and sells its products through stores in the United States, Mexico, and Canada. The company was founded in 1970 and is based in Saint-LinñLaurentides, Canada.;Bloomberg
Monogram Food Solutions;Monogram Food Solutions, LLC produces and distributes meat products, snacks, and appetizers. It offers beef jerky, bacon jerky, turkey jerky, meat sticks, pickled sausages and pickled eggs, smoked sausages, hotdogs, pre-cooked bacons, bacons, corndogs, mini corndogs, pancakes and sausages, potato skins, onion rings, breaded cheese strips, cheese curds, jalapeno poppers, breaded mushrooms, breaded vegetables, and other food. Its brands include Circle B, Bullís, Hannahís, King Cotton, and Trail's Best Meat Snacks. The company offers its products through retailers/vendors and partners in the United States. Monogram Food Solutions, LLC was founded in 2004 and is based in Memphis, Tennessee with ...;Bloomberg
Morgan Foods;Morgan Foods, Inc. produces and supplies food formulations. It offers private-label soups, beans, broths, gravies, sauces, kosher options, and other mixed-ingredient products. Morgan Foods, Inc. was formerly known as Morgan Packing Company and changed its name to Morgan Foods, Inc. in 1986. The company was founded in 1899 and is based in Austin, Indiana.;Bloomberg
Nation Pizza;Nation Pizza and Foods, LLC produces baking and prepared food products. It offers crusts, pizzas, sandwiches, appetizers, Hispanic products, sweets, cookies, and desserts. The company also offers custom manufacturing services. Its products fit for any time of day from breakfast to lunch, dinner to dessert, and a midday snack. The company was formerly known as Nation Pizza Products, L.P. and changed its name to Nation Pizza and Foods, LLC in 2012. Nation Pizza and Foods, LLC was founded in 1947 and is based in Schaumburg, Illinois.;Bloomberg
National Frozen Foods;"National Frozen Foods Corporation produces frozen food. It offers fruits; vegetables, such as peas, corns, green beans, carrots, limas, and squash; blended peas and carrot, peas and pearl onion, and succotash; Italian and custom blends; organic green beans, peas, carrots, and corns; purees of cream style corns, carrots, broccoli, squashóhubbard (pumpkin) and butternut, and squash; and organic and custom purees. The company was formerly known as National Fruit Canning Company and changed its name to National Frozen Foods Corporation in 1988. National Frozen Foods Corporation was founded in 1912 and is headquartered in Seattle, Washington with plants in Albany, Oregon; and Chehalis, Moses Lake...";Bloomberg
Pac/Gro Associates;"National Frozen Foods Corporation produces frozen food. It offers fruits; vegetables, such as peas, corns, green beans, carrots, limas, and squash; blended peas and carrot, peas and pearl onion, and succotash; Italian and custom blends; organic green beans, peas, carrots, and corns; purees of cream style corns, carrots, broccoli, squashóhubbard (pumpkin) and butternut, and squash; and organic and custom purees. The company was formerly known as National Fruit Canning Company and changed its name to National Frozen Foods Corporation in 1988. National Frozen Foods Corporation was founded in 1912 and is headquartered in Seattle, Washington with plants in Albany, Oregon; and Chehalis, Moses Lake...";Bloomberg
Northern Fish Products;Northern Fish Products, Inc. engages in wholesale distribution of seafood. The company was founded in 1912 and is based in Tacoma, Washington.;Bloomberg
Olam Holdings;Olam Holdings Partnership operates as a holding company. The Company, through its subsidiaries, produces and distributes cocoa, coffee, cashew, rice, and cotton products. Olam Holdings Partnership serves customers worldwide.;Bloomberg
Prime Pork LLC;Prime Pork, a domestic and international supplier of premium quality beef, processes and delivers customized beef program solutions to retail and food service companies worldwide. It serves customers primarily in the EU, Japan, Korea, the Russian Federation, and Mexico. The company is based in Windom, Minnesota.;Bloomberg
Rich Holdings;Rich Holdings Inc. operates as a holding company. The Company, through its subsidiaries, produces and markets frozen food products. Rich Holdings offers toppings, icings, cakes, desserts, pizza, nut free cookies, bakery products, breads, rolls, shrimp, seafood, appetizers, snacks, and cooking creams.;Bloomberg
Richelieu Foods;"Richelieu Foods Inc. produces private label food products for retail, corporate brands, and contract packing customers. It produces and retails frozen and deli pizzas, and pizza toppings; salad dressings and sauces; and foodservice dressings and sauces, marinades, BBQ sauces, and organic food products. Richelieu Foods Inc. was founded in 1862 and is based in Braintree, Massachusetts with manufacturing facilities across the Midwest. As of December 1, 2017, Richelieu Foods Inc. operates as a subsidiary of Freiberger USA Inc.";Bloomberg
Sargento Foods;Sargento Foods Inc. produces and markets cheeses. It offers shredded and sliced cheeses, balanced breaks, snacks, snack bites, and other varieties. Sargento Foods Inc. was formerly known as Sargento Cheese Company, Inc. and changed its name to Sargento Foods Inc. in July 1994. The company was founded in 1953 and is based in Plymouth, Wisconsin.;Bloomberg
Stanislaus Food Products;Stanislaus Food Products Co. Inc. engages in producing and packaging tomato products. The company specializes in fresh-packing ëReal Italianí tomato products for use in Italian restaurants and pizzerias in North America. It offers its products to restaurants through a network of foodservice distributors. The company was founded in 1942 and is based in Modesto, California.;Bloomberg
Steven-Robert Originals;"Steven-Robert Originals, LLC develops, produces, and distributes frozen desserts to restaurants, hotels, theaters, theaters, B&I, and gourmet grocery stores. It offers cheesecakes, crusts, layer cakes, pies, and tarts; pastries; tiramisu, mousses, bombes, and mini desserts; muffins and dessert bars; and cookies, bars, brownies, and other specialty items. The company was founded in 1995 and is headquartered in Aurora, Colorado.";Bloomberg
Sunsweet Growers Inc;Sunsweet Growers Inc. grows, processes, and markets dried fruits. The companyís dried fruits include prunes, apricots and mangos, and more. It also offers nuts, confections, gourmet pantries, giftware, prune and plum juices, and coconut water. The company serves customers in the segments of extended care, hospitals, schools, travel and leisure, fine dining, and bakery. It offers its products through its online gift outlet, as well as through groceries, supermarkets, and drug and club store retailers in Europe, Japan, Hong Kong, and China. Sunsweet Growers Inc. was formerly known as California Prune and Apricot Growers Association and changed its name to Sunsweet Growers Inc. in 1958. The com...;Bloomberg
Teasdale Foods;"Teasdale Foods, Inc. manufactures food products. The company offers hominy, salsas, sauces, dips, seasonings, beans, and peppers; and tortillas, taco shells, and flatbreads. It serves retail and food service partners. The company is based in Atwater, California.";Bloomberg
Tree Top, Inc.;"Tree Top Inc. produces and supplies fruit-based products and ingredients to customers in the United States and internationally. It offers a range of consumer products, including apple juices and sauces, blended fruit juices, fresh pressed juices, fruit smoothies, organic juices, and fruit snacks for families; fruit-based products, which include frozen and fresh-cut juices, sauces, purees, and dried items for the foodservice industry; and fruit ingredients, such as fruit purees, fruit juice concentrates, dried fruits, and fruit preparations for food and beverage manufacturers. The company also offers contract manufacturing services. It sells its consumer products through grocery stores and ot...";Bloomberg
Welch Foods, Inc;"Welch Foods Inc. processes and produces grape-based products that include juices, jams, jellies, and spreads. The company also offers fruit and botanical, fruit shot, unfiltered, essentials, chilled, light, sparkling, refrigerated, and other juices and drinks; juice cocktails, six-pack juice drinks, concentrates, and food and snacks; and original, natural, reduced sugar, concord grape, and strawberry and raspberry jams, jellies, and spreads. It serves families in the United States and internationally. Welch Foods Inc. was formerly known as The Welch Grape Juice Co. The company was founded in 1869 and is headquartered in Concord, Massachusetts with vineyards in the United States and Canada. W...";Bloomberg
Wonton Food Inc;"Wonton Food Inc. produces and markets noodles, wrappers, fortune cookies, bean sprouts, cookies and private label products. The company was founded in 1973 and is based in Brooklyn, New York. It serves at additional locations, including Houston, Texas; and La Vergne, Tennessee.";Bloomberg
